Words,Part,Meaning,Date,Link
groggy,adj.,体弱的；头晕的,9月22日,1-20.txt
repartee,n.,巧辩,9月22日,1-20.txt
gargantuan,adj.,巨大的,9月22日,1-20.txt
aspersion,n.,诽谤,9月22日,1-20.txt
mite,n.,小虫,9月22日,1-20.txt
respite,n.,暂缓,9月22日,1-20.txt
bonhomie,n.,友好的氛围,9月22日,1-20.txt
finicky,adj.,苛刻的,9月22日,1-20.txt
usurp,v.,篡位,9月22日,1-20.txt
denouement,n.,结局,9月22日,1-20.txt
adulate,v.,谄媚,9月22日,1-20.txt
stentorian,adj.,极响亮的,9月22日,1-20.txt
mongrel,n.&adj.,混血的,9月22日,1-20.txt
predilection,n&adj,偏好,9月22日,1-20.txt
gangly,adj.,身材瘦长的,9月22日,1-20.txt
recumbent,adj.,斜倚的,9月22日,1-20.txt
despicable,adj.,可鄙的,9月22日,1-20.txt
quaver,v&n,颤抖,9月22日,1-20.txt
peeve,n&v,惹恼；怨恨,9月22日,1-20.txt
importune,v.,胡搅蛮缠,9月22日,1-20.txt
erudite,adj.,博学的,9月22日,21-40.txt
bogus,adj.&n,假（的）,9月22日,21-40.txt
carouse,v.,畅饮,9月22日,21-40.txt
tumult,n.,骚乱,9月24日,21-40.txt
discretion,n.,谨慎,9月24日,21-40.txt
bliss,v.&n.,福佑,9月24日,21-40.txt
vile,adj.,令人讨厌的,9月24日,21-40.txt
hideous,adj.,讨厌的,9月24日,21-40.txt
illustrious,adj.,杰出的,9月24日,21-40.txt
repose,v.&n.,休息；建立于…之上,9月24日,21-40.txt
jest,v.&n.,开玩笑,9月24日,21-40.txt
proprietary,adj.,私人拥有的,9月24日,21-40.txt
wilt,v.&n.,凋谢,9月24日,21-40.txt
wanting,adj.,欠缺的,9月24日,21-40.txt
impious,adj.,不虔诚的,9月24日,21-40.txt
don,n.,阁下;指导教师,9月24日,21-40.txt
legion,n.,军队,9月24日,21-40.txt
lissome,adj.,柔软的;敏捷的,9月24日,21-40.txt
verisimilar,adj.,逼真的,9月24日,21-40.txt
equivocate,v.,模棱两可的,9月24日,21-40.txt
paunchy,adj.,大腹便便的,9月24日,41-60.txt
tinker,n.,修补,9月24日,41-60.txt
motley,adj.,混色的,9月24日,41-60.txt
bustle,v.&n.,喧闹,9月25日,41-60.txt
asunder,adv.,化为碎片,9月25日,41-60.txt
truce,n.,停战,9月25日,41-60.txt
mischievous,adj.,狡猾的,9月25日,41-60.txt
dashing,adj.,时髦的,9月25日,41-60.txt
entreat,v.,恳求,9月25日,41-60.txt
prostrate,adj.,降伏的,9月25日,41-60.txt
grotesque,adj.,奇形怪状的,9月25日,41-60.txt
wan,adj.,虚弱的,9月25日,41-60.txt
devout,adj.,虔诚的,9月25日,41-60.txt
iniquity,n.,不公正,9月25日,41-60.txt
beseech,adj.&v.,恳求（的）,9月25日,41-60.txt
ecstasy,n.,狂喜,9月25日,41-60.txt
insolent,adj.,傲慢的,9月25日,41-60.txt
censure,v.&n.,责难,9月25日,41-60.txt
saturnine,adj.,忧郁的,9月25日,41-60.txt
approbation,n.,认可.批准,9月25日,41-60.txt
lance,n.,长矛,9月25日,61-80.txt
sage,adj.,贤明的,9月25日,61-80.txt
barbarous,adj.,野蛮的,9月25日,61-80.txt
calamity,n.,大灾祸,9月25日,61-80.txt
remorse,n.,懊悔.自责,9月25日,61-80.txt
homage,n.,敬意,9月25日,61-80.txt
Canon,n.,教规.教士,9月26日,61-80.txt
snare,n.,圈套.陷阱,9月26日,61-80.txt
solace,n.,慰藉,9月26日,61-80.txt
profusion,n.,丰富,9月26日,61-80.txt
ardor,n.,狂热,9月26日,61-80.txt
impudent,adj.,鲁莽的,9月26日,61-80.txt
avarice,n.,贪财,9月26日,61-80.txt
heresy,n.,异教,9月26日,61-80.txt
rue,v.,后悔,9月26日,61-80.txt
obliging,adj.,乐于助人的,9月26日,61-80.txt
impertinent,adj.,不恰当的,9月26日,61-80.txt
frivolous,adj.,轻佻的.不重要的,9月26日,61-80.txt
impetuous,adj.,冲动的,9月26日,61-80.txt
imperious,adj.,傲慢的,9月26日,61-80.txt
vehement,adj.,猛烈的,9月26日,81-100.txt
prophetic,adj.,预言的,9月26日,81-100.txt
sordid,adj.,卑鄙的.肮脏的,9月26日,81-100.txt
disciple,n.,信徒,9月26日,81-100.txt
apparition,n.,幽灵,9月26日,81-100.txt
perceptible,adj.,可察觉的,9月26日,81-100.txt
enmity,n.,敌意.憎恨,9月26日,81-100.txt
dire,adj.,可怕的.悲惨的,9月26日,81-100.txt
cowardice,n.,胆小,9月26日,81-100.txt
indolent,adj.,懒惰的,9月27日,81-100.txt
forbearance,n.,忍耐,9月27日,81-100.txt
audacious,adj.,鲁莽的；大胆的,9月27日,81-100.txt
rustle,v.&n.,沙沙响；偷窃,9月27日,81-100.txt
alacrity,n.,反应迅速,9月27日,81-100.txt
scourage,n.,祸害来源,9月27日,81-100.txt
copious,adj.,丰富的,9月27日,81-100.txt
